Nose_x,Neck_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,MidHip_x,RHip_x,RKnee_x,RAnkle_x,LHip_x,LKnee_x,LAnkle_x,REye_x,LEye_x,REar_x,LEar_x,LBigToe_x,LSmallToe_x,LHeel_x,RBigToe_x,RSmallToe_x,RHeel_x,Nose_y,Neck_y,RShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,LWrist_y,MidHip_y,RHip_y,RKnee_y,RAnkle_y,LHip_y,LKnee_y,LAnkle_y,REye_y,LEye_y,REar_y,LEar_y,LBigToe_y,LSmallToe_y,LHeel_y,RBigToe_y,RSmallToe_y,RHeel_y,time
290.503,297.495,270.499,261.536,252.511,323.452,322.515,299.484,291.538,275.527,237.52,0.0,308.521,266.482,0.0,284.451,295.487,277.511,307.455,0.0,0.0,0.0,0.0,0.0,0.0,160.478,137.449,138.497,100.511,72.51400000000001,132.504,86.50200000000001,59.524,66.476,69.48599999999999,34.474999999999994,270.0,62.51400000000001,20.488,270.0,165.494,165.514,164.50799999999998,166.494,270.0,270.0,270.0,270.0,270.0,270.0,1.36
288.491,297.476,269.531,261.524,252.52,322.513,322.503,299.451,292.463,275.526,237.522,0.0,308.527,266.476,0.0,283.491,292.561,276.557,306.52,0.0,0.0,0.0,0.0,0.0,0.0,160.482,136.515,138.474,100.5,73.46199999999999,132.5,85.50299999999999,59.50399999999999,66.476,68.517,34.486999999999995,270.0,62.51599999999999,21.498999999999995,270.0,165.482,165.49599999999998,165.483,166.514,270.0,270.0,270.0,270.0,270.0,270.0,1.4000000000000001
284.492,297.499,270.493,261.532,252.498,323.461,322.5,298.474,291.532,275.508,237.497,0.0,308.511,266.472,0.0,281.474,291.511,0.0,306.516,0.0,0.0,0.0,0.0,0.0,0.0,160.48399999999998,136.509,138.477,100.493,72.487,132.484,84.513,58.528999999999996,66.46799999999999,68.51599999999999,34.49600000000001,270.0,62.502999999999986,20.486999999999995,270.0,165.48399999999998,164.524,270.0,168.463,270.0,270.0,270.0,270.0,270.0,270.0,1.44
283.49,297.505,270.518,261.538,252.493,323.46,322.517,298.499,291.525,275.506,237.513,0.0,308.504,266.477,0.0,277.539,290.481,0.0,304.504,0.0,0.0,0.0,0.0,0.0,0.0,160.497,137.447,138.496,100.50299999999999,72.475,132.491,86.505,58.513000000000005,66.47300000000001,68.519,34.47900000000001,270.0,62.513000000000005,19.531000000000006,270.0,165.499,165.50900000000001,270.0,168.463,270.0,270.0,270.0,270.0,270.0,270.0,1.48
280.484,297.514,271.499,262.494,252.506,323.462,322.517,297.507,291.523,275.505,237.515,0.0,308.498,266.478,0.0,276.523,286.496,0.0,303.497,0.0,0.0,0.0,0.0,0.0,0.0,161.466,137.454,138.535,101.494,72.507,131.527,85.48500000000001,58.491000000000014,66.47200000000001,69.48500000000001,34.483000000000004,270.0,62.50399999999999,19.52799999999999,270.0,167.511,167.481,270.0,168.482,270.0,270.0,270.0,270.0,270.0,270.0,1.52
277.489,298.458,271.49,262.488,252.505,323.465,322.505,297.516,291.525,275.505,237.518,0.0,308.504,266.479,0.0,275.542,284.508,0.0,302.502,0.0,0.0,0.0,0.0,0.0,0.0,161.487,137.447,138.526,101.493,72.50299999999999,131.527,84.51599999999999,58.49199999999999,66.481,69.494,34.47900000000001,270.0,63.47999999999999,19.53,270.0,167.514,166.498,270.0,168.464,270.0,270.0,270.0,270.0,270.0,270.0,1.56
276.483,297.513,270.523,261.54,252.51,323.468,322.509,298.493,291.521,275.499,237.512,0.0,308.499,266.468,0.0,275.501,283.509,0.0,301.513,0.0,0.0,0.0,0.0,0.0,0.0,161.506,137.442,138.525,101.48599999999999,72.506,131.525,84.50299999999999,58.531000000000006,66.47,68.518,34.480999999999995,270.0,62.50999999999999,19.520999999999987,270.0,168.47199999999998,167.476,270.0,167.494,270.0,270.0,270.0,270.0,270.0,270.0,1.6
275.545,297.515,271.495,262.493,252.528,323.461,323.442,299.462,291.514,275.504,237.495,0.0,308.487,266.47,0.0,275.454,283.471,0.0,300.516,0.0,0.0,0.0,0.0,0.0,0.0,161.531,137.466,139.484,102.49799999999999,73.481,131.54,86.483,59.485000000000014,66.47999999999999,69.488,34.508999999999986,270.0,63.485000000000014,19.518,270.0,168.49599999999998,167.50400000000002,270.0,167.502,270.0,270.0,270.0,270.0,270.0,270.0,1.6400000000000001
275.536,297.513,271.506,262.505,252.532,323.454,322.512,299.458,291.518,275.509,237.513,0.0,308.489,266.466,0.0,275.491,282.515,0.0,300.467,0.0,0.0,0.0,0.0,0.0,0.0,161.547,137.476,139.506,103.482,73.493,132.484,85.5,59.49000000000001,66.47900000000001,69.489,34.49199999999999,270.0,63.482,19.510999999999996,270.0,168.511,167.514,270.0,167.50799999999998,270.0,270.0,270.0,270.0,270.0,270.0,1.68
171.535,161.497,136.496,134.52,140.49,184.504,191.499,191.508,164.465,149.493,186.459,0.0,179.47,205.52,0.0,164.456,173.508,152.489,179.516,0.0,0.0,0.0,0.0,0.0,0.0,162.494,131.492,129.504,83.51400000000001,87.506,136.501,99.499,98.477,67.48500000000001,65.488,20.498999999999995,270.0,71.47800000000001,32.504999999999995,270.0,167.495,169.461,161.515,167.478,270.0,270.0,270.0,270.0,270.0,270.0,1.72
