LAnkle;LBigToe;LEar;LElbow;LEye;LHeel;LHip;LKnee;LShoulder;LSmallToe;LWrist;MidHip;Neck;Nose;RAnkle;RBigToe;REar;RElbow;REye;RHeel;RHip;RKnee;RShoulder;RSmallToe;RWrist;time
(0.0, 0);(0.0, 0);(292.472, 163.511);(317.526, 90.52199999999999);(275.447, 164.505);(0.0, 0);(305.509, 62.489000000000004);(265.478, 25.451999999999998);(317.489, 132.514);(0.0, 0);(298.501, 57.524);(289.481, 65.531);(292.516, 136.485);(269.497, 160.50799999999998);(0.0, 0);(0.0, 0);(0.0, 0);(251.514, 106.53399999999999);(268.511, 163.525);(0.0, 0);(274.503, 69.483);(239.519, 34.536);(268.471, 138.457);(0.0, 0);(243.494, 79.47399999999999);16.12
(0.0, 0);(0.0, 0);(292.466, 163.51600000000002);(317.515, 90.537);(275.445, 164.523);(0.0, 0);(307.465, 61.502999999999986);(264.518, 25.466000000000008);(317.49, 132.516);(0.0, 0);(298.503, 57.52600000000001);(290.486, 65.517);(292.518, 136.489);(269.494, 160.514);(0.0, 0);(0.0, 0);(0.0, 0);(251.515, 106.54499999999999);(268.506, 163.53199999999998);(0.0, 0);(275.465, 68.507);(239.489, 35.518);(268.468, 138.459);(0.0, 0);(243.536, 80.47);16.16
(0.0, 0);(0.0, 0);(292.457, 163.515);(317.512, 90.542);(275.44, 164.527);(0.0, 0);(306.501, 61.50399999999999);(264.49, 25.464);(317.488, 132.517);(0.0, 0);(298.498, 57.524);(290.469, 65.518);(292.512, 136.488);(268.558, 160.517);(0.0, 0);(0.0, 0);(0.0, 0);(251.532, 107.49700000000001);(268.498, 163.54500000000002);(0.0, 0);(275.461, 68.50800000000001);(238.495, 34.51400000000001);(268.461, 138.463);(0.0, 0);(243.509, 81.463);16.2
(0.0, 0);(0.0, 0);(292.457, 163.50799999999998);(317.51, 90.53);(274.51, 164.526);(0.0, 0);(307.475, 62.492999999999995);(263.515, 25.451999999999998);(317.495, 132.516);(0.0, 0);(298.511, 57.53800000000001);(290.506, 66.47);(292.527, 136.494);(268.56, 160.519);(0.0, 0);(0.0, 0);(0.0, 0);(252.458, 107.48400000000001);(0.0, 0);(0.0, 0);(275.485, 69.49199999999999);(239.501, 34.528999999999996);(268.487, 138.47);(0.0, 0);(243.498, 77.49799999999999);16.240000000000002
(0.0, 0);(0.0, 0);(291.538, 163.527);(317.516, 90.537);(274.501, 164.51);(0.0, 0);(307.477, 62.504999999999995);(263.519, 24.49799999999999);(317.489, 132.512);(0.0, 0);(299.455, 58.46700000000001);(290.508, 66.48400000000001);(292.524, 136.488);(268.538, 161.442);(0.0, 0);(0.0, 0);(0.0, 0);(251.534, 107.525);(268.511, 164.505);(0.0, 0);(275.49, 70.481);(239.509, 34.541);(268.481, 138.456);(0.0, 0);(243.467, 81.45400000000001);16.28
(0.0, 0);(0.0, 0);(0.0, 0);(188.551, 98.469);(179.506, 164.517);(0.0, 0);(180.461, 67.501);(203.525, 29.498999999999995);(184.502, 135.496);(0.0, 0);(194.511, 66.49600000000001);(164.521, 66.475);(162.48, 131.498);(180.513, 161.531);(0.0, 0);(0.0, 0);(162.496, 161.481);(139.541, 82.50299999999999);(177.484, 165.50900000000001);(0.0, 0);(149.528, 65.459);(183.489, 21.504999999999995);(139.471, 130.46);(0.0, 0);(164.543, 55.50200000000001);16.32
(0.0, 0);(0.0, 0);(291.518, 164.485);(317.515, 91.48599999999999);(274.478, 164.488);(0.0, 0);(307.516, 60.52199999999999);(263.501, 24.510999999999996);(317.49, 132.519);(0.0, 0);(298.514, 57.536);(291.484, 65.507);(292.555, 136.497);(268.514, 161.445);(0.0, 0);(0.0, 0);(0.0, 0);(251.518, 107.49600000000001);(268.548, 165.503);(0.0, 0);(275.513, 68.506);(238.525, 34.54400000000001);(268.524, 138.463);(0.0, 0);(243.503, 78.512);16.36
(0.0, 0);(0.0, 0);(291.509, 163.539);(317.496, 90.535);(274.487, 164.515);(0.0, 0);(308.474, 61.50800000000001);(263.502, 25.453000000000003);(317.489, 132.515);(0.0, 0);(298.506, 57.528999999999996);(291.516, 65.523);(292.551, 136.485);(268.532, 161.45499999999998);(252.531, 0.4800000000000182);(0.0, 0);(0.0, 0);(251.499, 107.50899999999999);(0.0, 0);(0.0, 0);(276.469, 69.48400000000001);(239.507, 34.553);(268.522, 137.524);(0.0, 0);(243.48, 80.499);16.4
(0.0, 0);(0.0, 0);(291.504, 164.494);(317.509, 90.53200000000001);(274.494, 165.514);(0.0, 0);(307.465, 59.528999999999996);(263.501, 25.449000000000012);(317.489, 132.515);(0.0, 0);(298.511, 57.52699999999999);(289.497, 65.46100000000001);(292.547, 136.472);(269.484, 161.471);(0.0, 0);(0.0, 0);(0.0, 0);(251.479, 109.49700000000001);(268.504, 164.488);(0.0, 0);(274.493, 67.483);(239.486, 34.55199999999999);(268.542, 137.503);(0.0, 0);(243.497, 80.50999999999999);16.44
(0.0, 0);(0.0, 0);(291.499, 164.49099999999999);(317.527, 90.49799999999999);(274.488, 165.498);(0.0, 0);(306.491, 60.506);(263.509, 24.516999999999996);(317.487, 132.506);(0.0, 0);(298.516, 57.52600000000001);(289.499, 65.49000000000001);(292.531, 136.462);(268.552, 161.47199999999998);(0.0, 0);(0.0, 0);(0.0, 0);(251.518, 108.507);(268.524, 164.49099999999999);(0.0, 0);(275.454, 67.525);(237.539, 35.49000000000001);(268.493, 137.513);(0.0, 0);(243.497, 78.506);16.48
(0.0, 0);(0.0, 0);(291.499, 164.501);(317.505, 90.5);(274.497, 164.526);(0.0, 0);(305.501, 61.49000000000001);(263.489, 24.483000000000004);(316.545, 132.521);(0.0, 0);(299.451, 58.459);(288.497, 65.51400000000001);(292.535, 136.482);(268.526, 161.47199999999998);(0.0, 0);(0.0, 0);(0.0, 0);(251.503, 106.531);(268.528, 164.51999999999998);(0.0, 0);(274.488, 69.48500000000001);(237.516, 34.536);(268.522, 137.539);(0.0, 0);(243.474, 79.494);16.52
(0.0, 0);(0.0, 0);(0.0, 0);(189.488, 98.47200000000001);(179.483, 169.539);(0.0, 0);(180.475, 69.518);(205.493, 32.47999999999999);(184.494, 135.508);(0.0, 0);(195.449, 65.50399999999999);(164.541, 67.49000000000001);(162.486, 131.491);(180.48, 164.48399999999998);(0.0, 0);(0.0, 0);(158.498, 161.487);(139.529, 82.543);(172.544, 168.513);(0.0, 0);(150.5, 65.52199999999999);(180.527, 23.48400000000001);(139.468, 129.539);(0.0, 0);(163.534, 57.46700000000001);16.56
(0.0, 0);(0.0, 0);(291.478, 164.501);(316.547, 90.513);(274.488, 164.50900000000001);(0.0, 0);(307.499, 61.514999999999986);(263.51, 24.492999999999995);(316.478, 135.496);(0.0, 0);(298.495, 57.52199999999999);(291.47, 65.531);(292.511, 137.465);(268.52, 161.44299999999998);(0.0, 0);(0.0, 0);(0.0, 0);(251.534, 107.52099999999999);(268.511, 163.538);(0.0, 0);(275.499, 69.487);(238.487, 35.51599999999999);(268.545, 137.536);(0.0, 0);(243.479, 81.46199999999999);16.6
(0.0, 0);(0.0, 0);(291.495, 164.502);(316.549, 90.531);(274.5, 164.514);(0.0, 0);(307.521, 62.5);(263.516, 24.5);(316.469, 137.478);(0.0, 0);(298.488, 57.52199999999999);(291.506, 66.47300000000001);(292.474, 137.499);(268.53, 160.512);(0.0, 0);(0.0, 0);(0.0, 0);(251.509, 107.488);(267.546, 164.486);(0.0, 0);(275.53, 69.489);(237.525, 35.514999999999986);(268.468, 138.47);(0.0, 0);(243.467, 80.50399999999999);16.64
